disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
COVID-19	MT	30	Montana	0.818830191937599	2.03213980315244	3.24544941436727	4.45875902558211
RSV	MT	30	Montana	0.0544391758221658	0.569642941188658	1.08484670655515	1.60005047192164
ARI	MT	30	Montana	10.2923694704229	14.0093412053813	17.7263129403396	21.443284675298
Influenza	NC	37	North Carolina	0.53944866721049	3.91000410366721	7.28055954012393	10.6511149765807
COVID-19	NC	37	North Carolina	0.957637497938248	2.34620243383482	3.73476736973139	5.12333230562796
RSV	NC	37	North Carolina	0.052673744506241	0.41527639169893	0.77787903889162	1.14048168608431
ARI	NC	37	North Carolina	12.5462641511737	17.6298354412814	22.713406731389	27.7969780214967
Influenza	ND	38	North Dakota	0.112930343017489	2.62452986279678	5.13612938257607	7.64772890235537
COVID-19	ND	38	North Dakota	0.699611618838267	1.867781287173	3.03595095550773	4.20412062384246
RSV	ND	38	North Dakota	0.0646653141036112	0.819442963648635	1.57422061319366	2.32899826273868
ARI	ND	38	North Dakota	9.4044814603834	13.8762153012153	18.3479491420471	22.819682982879
Influenza	NE	31	Nebraska	0.142123247520877	2.04338657077044	3.94464989402	5.84591321726956
COVID-19	NE	31	Nebraska	0.308022398798573	1.3132531948107	2.31848399082282	3.32371478683494
RSV	NE	31	Nebraska	0.0601351478758112	0.499493821357885	0.938852494839959	1.37821116832203
ARI	NE	31	Nebraska	7.89373963676057	11.3460008242845	14.7982620118084	18.2505231993323
Influenza	NH	33	New Hampshire	0.187345932755749	2.07974215749176	3.97213838222778	5.86453460696379
COVID-19	NH	33	New Hampshire	0.555696355548634	1.47316381552908	2.39063127550954	3.30809873548999
RSV	NH	33	New Hampshire	0.0452020647941643	0.439866751578225	0.834531438362285	1.22919612514635
ARI	NH	33	New Hampshire	8.14785825720061	11.5925514918363	15.037244726472	18.4819379611078
Influenza	NJ	34	New Jersey	0.321586577636629	2.11829624218902	3.91500590674142	5.71171557129381
COVID-19	NJ	34	New Jersey	0.429078579510625	1.40677814171534	2.38447770392005	3.36217726612477
RSV	NJ	34	New Jersey	0.0501750296729801	0.326255204094114	0.602335378515248	0.878415552936382
ARI	NJ	34	New Jersey	9.36969876260443	12.8014294345102	16.2331601064161	19.6648907783219
Influenza	NM	35	New Mexico	0.378159575817063	3.45109157421842	6.52402357261978	9.59695557102114
COVID-19	NM	35	New Mexico	1.20519051983787	2.8005977044009	4.39600488896392	5.99141207352695
RSV	NM	35	New Mexico	0.0948330729151471	0.948925940795856	1.80301880867657	2.65711167655727
