.draw	date	hosp	location
737	2023-11-13	1	NM
737	2023-11-14	0	NM
737	2023-11-15	0	NM
737	2023-11-16	2	NM
737	2023-11-17	0	NM
737	2023-11-18	0	NM
737	2023-11-19	2	NM
819	2023-10-21	0	NM
819	2023-10-22	1	NM
819	2023-10-23	1	NM
819	2023-10-24	1	NM
819	2023-10-25	2	NM
819	2023-10-26	0	NM
819	2023-10-27	1	NM
819	2023-10-28	3	NM
819	2023-10-29	1	NM
819	2023-10-30	2	NM
819	2023-10-31	0	NM
819	2023-11-01	1	NM
819	2023-11-02	1	NM
819	2023-11-03	3	NM
819	2023-11-04	0	NM
819	2023-11-05	0	NM
819	2023-11-06	0	NM
819	2023-11-07	0	NM
819	2023-11-08	0	NM
819	2023-11-09	0	NM
819	2023-11-10	0	NM
819	2023-11-11	0	NM
819	2023-11-12	0	NM
819	2023-11-13	1	NM
819	2023-11-14	0	NM
819	2023-11-15	0	NM
819	2023-11-16	0	NM
819	2023-11-17	0	NM
819	2023-11-18	1	NM
819	2023-11-19	0	NM
839	2023-10-21	0	NM
839	2023-10-22	0	NM
839	2023-10-23	0	NM
839	2023-10-24	0	NM
839	2023-10-25	0	NM
839	2023-10-26	0	NM
839	2023-10-27	1	NM
839	2023-10-28	1	NM
839	2023-10-29	0	NM
839	2023-10-30	1	NM
839	2023-10-31	0	NM
839	2023-11-01	1	NM
839	2023-11-02	0	NM
839	2023-11-03	0	NM
839	2023-11-04	0	NM
839	2023-11-05	0	NM
839	2023-11-06	1	NM
839	2023-11-07	1	NM
839	2023-11-08	0	NM
839	2023-11-09	0	NM
839	2023-11-10	0	NM
839	2023-11-11	1	NM
839	2023-11-12	0	NM
839	2023-11-13	0	NM
839	2023-11-14	0	NM
839	2023-11-15	0	NM
839	2023-11-16	0	NM
839	2023-11-17	1	NM
839	2023-11-18	0	NM
839	2023-11-19	1	NM
854	2023-10-21	0	NM
854	2023-10-22	0	NM
854	2023-10-23	0	NM
854	2023-10-24	0	NM
854	2023-10-25	0	NM
854	2023-10-26	0	NM
854	2023-10-27	0	NM
854	2023-10-28	0	NM
854	2023-10-29	0	NM
854	2023-10-30	0	NM
854	2023-10-31	0	NM
854	2023-11-01	0	NM
854	2023-11-02	0	NM
854	2023-11-03	0	NM
854	2023-11-04	0	NM
854	2023-11-05	0	NM
854	2023-11-06	0	NM
854	2023-11-07	0	NM
854	2023-11-08	0	NM
854	2023-11-09	0	NM
854	2023-11-10	0	NM
854	2023-11-11	0	NM
854	2023-11-12	0	NM
854	2023-11-13	0	NM
854	2023-11-14	1	NM
854	2023-11-15	0	NM
854	2023-11-16	0	NM
854	2023-11-17	0	NM
854	2023-11-18	0	NM
854	2023-11-19	0	NM
932	2023-10-21	0	NM
932	2023-10-22	0	NM
932	2023-10-23	0	NM
932	2023-10-24	0	NM
932	2023-10-25	1	NM
932	2023-10-26	0	NM
932	2023-10-27	0	NM
932	2023-10-28	0	NM
932	2023-10-29	0	NM
932	2023-10-30	0	NM
932	2023-10-31	0	NM
932	2023-11-01	0	NM
932	2023-11-02	0	NM
932	2023-11-03	0	NM
932	2023-11-04	0	NM
932	2023-11-05	1	NM
932	2023-11-06	0	NM
932	2023-11-07	0	NM
932	2023-11-08	0	NM
932	2023-11-09	1	NM
932	2023-11-10	0	NM
932	2023-11-11	0	NM
932	2023-11-12	0	NM
932	2023-11-13	0	NM
932	2023-11-14	0	NM
932	2023-11-15	0	NM
932	2023-11-16	0	NM
932	2023-11-17	0	NM
932	2023-11-18	0	NM
932	2023-11-19	2	NM
949	2023-10-21	1	NM
949	2023-10-22	2	NM
949	2023-10-23	0	NM
949	2023-10-24	0	NM
949	2023-10-25	1	NM
949	2023-10-26	1	NM
949	2023-10-27	1	NM
949	2023-10-28	1	NM
949	2023-10-29	2	NM
949	2023-10-30	2	NM
949	2023-10-31	0	NM
949	2023-11-01	1	NM
949	2023-11-02	0	NM
949	2023-11-03	0	NM
949	2023-11-04	0	NM
949	2023-11-05	0	NM
949	2023-11-06	4	NM
949	2023-11-07	1	NM
949	2023-11-08	1	NM
949	2023-11-09	1	NM
949	2023-11-10	0	NM
949	2023-11-11	2	NM
949	2023-11-12	0	NM
949	2023-11-13	1	NM
949	2023-11-14	1	NM
949	2023-11-15	0	NM
949	2023-11-16	2	NM
949	2023-11-17	0	NM
949	2023-11-18	1	NM
949	2023-11-19	0	NM
983	2023-10-21	0	NM
983	2023-10-22	0	NM
983	2023-10-23	0	NM
983	2023-10-24	1	NM
983	2023-10-25	0	NM
983	2023-10-26	1	NM
983	2023-10-27	1	NM
983	2023-10-28	0	NM
983	2023-10-29	0	NM
983	2023-10-30	0	NM
983	2023-10-31	0	NM
983	2023-11-01	0	NM
983	2023-11-02	1	NM
983	2023-11-03	0	NM
983	2023-11-04	0	NM
983	2023-11-05	0	NM
983	2023-11-06	0	NM
983	2023-11-07	0	NM
983	2023-11-08	0	NM
983	2023-11-09	0	NM
983	2023-11-10	0	NM
983	2023-11-11	0	NM
983	2023-11-12	0	NM
983	2023-11-13	0	NM
983	2023-11-14	0	NM
983	2023-11-15	1	NM
983	2023-11-16	0	NM
983	2023-11-17	0	NM
983	2023-11-18	0	NM
983	2023-11-19	0	NM
1016	2023-10-21	0	NM
1016	2023-10-22	0	NM
1016	2023-10-23	1	NM
1016	2023-10-24	0	NM
1016	2023-10-25	1	NM
1016	2023-10-26	0	NM
1016	2023-10-27	0	NM
1016	2023-10-28	1	NM
1016	2023-10-29	0	NM
1016	2023-10-30	1	NM
1016	2023-10-31	0	NM
1016	2023-11-01	0	NM
1016	2023-11-02	0	NM
1016	2023-11-03	0	NM
1016	2023-11-04	0	NM
1016	2023-11-05	0	NM
1016	2023-11-06	0	NM
1016	2023-11-07	0	NM
1016	2023-11-08	0	NM
1016	2023-11-09	0	NM
1016	2023-11-10	0	NM
1016	2023-11-11	0	NM
1016	2023-11-12	0	NM
1016	2023-11-13	0	NM
1016	2023-11-14	0	NM
1016	2023-11-15	1	NM
1016	2023-11-16	0	NM
1016	2023-11-17	0	NM
1016	2023-11-18	0	NM
1016	2023-11-19	0	NM
1066	2023-10-21	1	NM
1066	2023-10-22	0	NM
1066	2023-10-23	2	NM
1066	2023-10-24	0	NM
1066	2023-10-25	1	NM
1066	2023-10-26	0	NM
1066	2023-10-27	0	NM
1066	2023-10-28	2	NM
1066	2023-10-29	0	NM
1066	2023-10-30	0	NM
1066	2023-10-31	5	NM
1066	2023-11-01	1	NM
1066	2023-11-02	1	NM
1066	2023-11-03	0	NM
1066	2023-11-04	2	NM
1066	2023-11-05	1	NM
1066	2023-11-06	5	NM
1066	2023-11-07	7	NM
1066	2023-11-08	3	NM
1066	2023-11-09	1	NM
1066	2023-11-10	4	NM
1066	2023-11-11	1	NM
1066	2023-11-12	3	NM
1066	2023-11-13	4	NM
1066	2023-11-14	2	NM
1066	2023-11-15	4	NM
1066	2023-11-16	2	NM
1066	2023-11-17	2	NM
1066	2023-11-18	4	NM
1066	2023-11-19	4	NM
1112	2023-10-21	0	NM
1112	2023-10-22	0	NM
1112	2023-10-23	0	NM
1112	2023-10-24	0	NM
1112	2023-10-25	0	NM
1112	2023-10-26	0	NM
1112	2023-10-27	2	NM
1112	2023-10-28	1	NM
1112	2023-10-29	0	NM
1112	2023-10-30	0	NM
1112	2023-10-31	0	NM
1112	2023-11-01	0	NM
1112	2023-11-02	1	NM
1112	2023-11-03	1	NM
1112	2023-11-04	0	NM
1112	2023-11-05	0	NM
1112	2023-11-06	0	NM
1112	2023-11-07	1	NM
1112	2023-11-08	0	NM
1112	2023-11-09	0	NM
1112	2023-11-10	0	NM
1112	2023-11-11	0	NM
1112	2023-11-12	0	NM
1112	2023-11-13	0	NM
1112	2023-11-14	0	NM
1112	2023-11-15	0	NM
1112	2023-11-16	0	NM
1112	2023-11-17	0	NM
1112	2023-11-18	0	NM
1112	2023-11-19	0	NM
1164	2023-10-21	0	NM
1164	2023-10-22	0	NM
1164	2023-10-23	0	NM
1164	2023-10-24	0	NM
1164	2023-10-25	0	NM
1164	2023-10-26	0	NM
1164	2023-10-27	1	NM
1164	2023-10-28	0	NM
1164	2023-10-29	2	NM
1164	2023-10-30	0	NM
1164	2023-10-31	0	NM
1164	2023-11-01	0	NM
1164	2023-11-02	2	NM
1164	2023-11-03	0	NM
1164	2023-11-04	0	NM
1164	2023-11-05	0	NM
1164	2023-11-06	1	NM
1164	2023-11-07	0	NM
1164	2023-11-08	1	NM
1164	2023-11-09	0	NM
1164	2023-11-10	1	NM
1164	2023-11-11	0	NM
1164	2023-11-12	0	NM
1164	2023-11-13	1	NM
1164	2023-11-14	2	NM
1164	2023-11-15	0	NM
1164	2023-11-16	1	NM
1164	2023-11-17	1	NM
1164	2023-11-18	1	NM
1164	2023-11-19	1	NM
1202	2023-10-21	0	NM
1202	2023-10-22	0	NM
1202	2023-10-23	0	NM
1202	2023-10-24	0	NM
1202	2023-10-25	0	NM
1202	2023-10-26	0	NM
1202	2023-10-27	0	NM
1202	2023-10-28	0	NM
1202	2023-10-29	0	NM
1202	2023-10-30	0	NM
1202	2023-10-31	0	NM
1202	2023-11-01	0	NM
1202	2023-11-02	0	NM
1202	2023-11-03	0	NM
1202	2023-11-04	0	NM
1202	2023-11-05	0	NM
1202	2023-11-06	0	NM
1202	2023-11-07	0	NM
1202	2023-11-08	0	NM
1202	2023-11-09	0	NM
1202	2023-11-10	0	NM
1202	2023-11-11	0	NM
1202	2023-11-12	0	NM
1202	2023-11-13	0	NM
1202	2023-11-14	0	NM
1202	2023-11-15	0	NM
1202	2023-11-16	0	NM
1202	2023-11-17	0	NM
1202	2023-11-18	0	NM
1202	2023-11-19	0	NM
1221	2023-10-21	0	NM
1221	2023-10-22	1	NM
1221	2023-10-23	0	NM
1221	2023-10-24	0	NM
1221	2023-10-25	0	NM
1221	2023-10-26	1	NM
1221	2023-10-27	0	NM
1221	2023-10-28	0	NM
1221	2023-10-29	0	NM
1221	2023-10-30	0	NM
1221	2023-10-31	0	NM
1221	2023-11-01	1	NM
1221	2023-11-02	0	NM
1221	2023-11-03	1	NM
1221	2023-11-04	0	NM
1221	2023-11-05	0	NM
1221	2023-11-06	0	NM
1221	2023-11-07	0	NM
1221	2023-11-08	0	NM
1221	2023-11-09	0	NM
1221	2023-11-10	1	NM
1221	2023-11-11	0	NM
1221	2023-11-12	0	NM
1221	2023-11-13	0	NM
1221	2023-11-14	0	NM
1221	2023-11-15	0	NM
1221	2023-11-16	0	NM
1221	2023-11-17	0	NM
1221	2023-11-18	0	NM
1221	2023-11-19	0	NM
1224	2023-10-21	0	NM
1224	2023-10-22	0	NM
1224	2023-10-23	0	NM
1224	2023-10-24	0	NM
1224	2023-10-25	1	NM
1224	2023-10-26	0	NM
1224	2023-10-27	0	NM
1224	2023-10-28	0	NM
1224	2023-10-29	0	NM
1224	2023-10-30	1	NM
1224	2023-10-31	0	NM
1224	2023-11-01	1	NM
1224	2023-11-02	0	NM
1224	2023-11-03	0	NM
1224	2023-11-04	0	NM
1224	2023-11-05	0	NM
1224	2023-11-06	0	NM
1224	2023-11-07	0	NM
1224	2023-11-08	0	NM
1224	2023-11-09	0	NM
1224	2023-11-10	0	NM
1224	2023-11-11	0	NM
1224	2023-11-12	0	NM
1224	2023-11-13	0	NM
1224	2023-11-14	0	NM
1224	2023-11-15	1	NM
1224	2023-11-16	0	NM
1224	2023-11-17	0	NM
1224	2023-11-18	0	NM
1224	2023-11-19	0	NM
1293	2023-10-21	0	NM
1293	2023-10-22	1	NM
1293	2023-10-23	0	NM
1293	2023-10-24	0	NM
1293	2023-10-25	0	NM
1293	2023-10-26	0	NM
1293	2023-10-27	1	NM
1293	2023-10-28	0	NM
1293	2023-10-29	0	NM
1293	2023-10-30	0	NM
1293	2023-10-31	0	NM
1293	2023-11-01	0	NM
1293	2023-11-02	0	NM
1293	2023-11-03	0	NM
1293	2023-11-04	0	NM
1293	2023-11-05	0	NM
1293	2023-11-06	0	NM
1293	2023-11-07	0	NM
1293	2023-11-08	0	NM
1293	2023-11-09	0	NM
1293	2023-11-10	0	NM
1293	2023-11-11	0	NM
1293	2023-11-12	0	NM
1293	2023-11-13	0	NM
1293	2023-11-14	0	NM
1293	2023-11-15	1	NM
1293	2023-11-16	0	NM
1293	2023-11-17	0	NM
1293	2023-11-18	0	NM
1293	2023-11-19	0	NM
1349	2023-10-21	2	NM
1349	2023-10-22	1	NM
1349	2023-10-23	2	NM
1349	2023-10-24	2	NM
1349	2023-10-25	1	NM
1349	2023-10-26	1	NM
1349	2023-10-27	3	NM
1349	2023-10-28	2	NM
1349	2023-10-29	2	NM
1349	2023-10-30	0	NM
1349	2023-10-31	2	NM
1349	2023-11-01	6	NM
1349	2023-11-02	2	NM
1349	2023-11-03	4	NM
1349	2023-11-04	3	NM
1349	2023-11-05	1	NM
1349	2023-11-06	0	NM
1349	2023-11-07	1	NM
1349	2023-11-08	3	NM
1349	2023-11-09	3	NM
1349	2023-11-10	3	NM
1349	2023-11-11	3	NM
1349	2023-11-12	1	NM
1349	2023-11-13	2	NM
1349	2023-11-14	2	NM
1349	2023-11-15	1	NM
1349	2023-11-16	1	NM
1349	2023-11-17	0	NM
1349	2023-11-18	2	NM
1349	2023-11-19	3	NM
1358	2023-10-21	0	NM
1358	2023-10-22	0	NM
1358	2023-10-23	0	NM
1358	2023-10-24	0	NM
1358	2023-10-25	0	NM
1358	2023-10-26	0	NM
1358	2023-10-27	0	NM
1358	2023-10-28	0	NM
1358	2023-10-29	0	NM
1358	2023-10-30	0	NM
1358	2023-10-31	0	NM
1358	2023-11-01	0	NM
1358	2023-11-02	0	NM
1358	2023-11-03	0	NM
1358	2023-11-04	0	NM
1358	2023-11-05	0	NM
1358	2023-11-06	0	NM
1358	2023-11-07	0	NM
1358	2023-11-08	0	NM
1358	2023-11-09	0	NM
1358	2023-11-10	0	NM
1358	2023-11-11	0	NM
1358	2023-11-12	0	NM
1358	2023-11-13	0	NM
1358	2023-11-14	0	NM
1358	2023-11-15	0	NM
1358	2023-11-16	0	NM
1358	2023-11-17	0	NM
1358	2023-11-18	0	NM
1358	2023-11-19	0	NM
1382	2023-10-21	0	NM
1382	2023-10-22	2	NM
1382	2023-10-23	0	NM
1382	2023-10-24	0	NM
1382	2023-10-25	0	NM
1382	2023-10-26	0	NM
1382	2023-10-27	0	NM
1382	2023-10-28	0	NM
1382	2023-10-29	0	NM
1382	2023-10-30	0	NM
1382	2023-10-31	0	NM
1382	2023-11-01	1	NM
1382	2023-11-02	0	NM
1382	2023-11-03	0	NM
1382	2023-11-04	1	NM
1382	2023-11-05	1	NM
1382	2023-11-06	0	NM
1382	2023-11-07	1	NM
1382	2023-11-08	0	NM
1382	2023-11-09	0	NM
1382	2023-11-10	0	NM
1382	2023-11-11	0	NM
1382	2023-11-12	0	NM
1382	2023-11-13	0	NM
1382	2023-11-14	0	NM
1382	2023-11-15	0	NM
1382	2023-11-16	0	NM
1382	2023-11-17	0	NM
1382	2023-11-18	0	NM
1382	2023-11-19	0	NM
1395	2023-10-21	0	NM
1395	2023-10-22	0	NM
1395	2023-10-23	0	NM
1395	2023-10-24	0	NM
1395	2023-10-25	0	NM
1395	2023-10-26	0	NM
1395	2023-10-27	0	NM
1395	2023-10-28	0	NM
1395	2023-10-29	0	NM
1395	2023-10-30	0	NM
1395	2023-10-31	0	NM
1395	2023-11-01	0	NM
1395	2023-11-02	0	NM
1395	2023-11-03	0	NM
1395	2023-11-04	0	NM
1395	2023-11-05	0	NM
1395	2023-11-06	0	NM
1395	2023-11-07	0	NM
1395	2023-11-08	0	NM
1395	2023-11-09	0	NM
1395	2023-11-10	0	NM
1395	2023-11-11	0	NM
1395	2023-11-12	0	NM
1395	2023-11-13	0	NM
1395	2023-11-14	0	NM
1395	2023-11-15	0	NM
1395	2023-11-16	0	NM
1395	2023-11-17	0	NM
1395	2023-11-18	0	NM
1395	2023-11-19	0	NM
1483	2023-10-21	0	NM
1483	2023-10-22	0	NM
1483	2023-10-23	2	NM
1483	2023-10-24	0	NM
1483	2023-10-25	0	NM
1483	2023-10-26	0	NM
